state,District,Block,officeName
Kerala,Thiruvananthapuram,Aryancode,KB Amboori
Kerala,Thiruvananthapuram,Aryancode,KB Arayancode
Kerala,Thiruvananthapuram,Aryancode,KB Kallikadu
Kerala,Thiruvananthapuram,Aryancode,KB Kollayil
Kerala,Thiruvananthapuram,Aryancode,KB Kunnathukal
Kerala,Thiruvananthapuram,Aryancode,KB Ottasekharamangalam
Kerala,Thiruvananthapuram,Aryancode,KB Perumkadavila
Kerala,Thiruvananthapuram,Aryancode,KB Perumpazhuthoor
Kerala,Thiruvananthapuram,Aryancode,KB Vellarada
Kerala,Thiruvananthapuram,Aryancode,KB Anchuthengu
Kerala,Thiruvananthapuram,Attingal,KB Anchuthengu
Kerala,Thiruvananthapuram,Attingal,KB Attingal Muncipality
Kerala,Thiruvananthapuram,Attingal,KB Azhoor
Kerala,Thiruvananthapuram,Attingal,KB Chirayinkil
Kerala,Thiruvananthapuram,Attingal,KB Kadakkavoor
Kerala,Thiruvananthapuram,Attingal,KB Kizhuvilam
Kerala,Thiruvananthapuram,Attingal,KB Mudakkal
Kerala,Thiruvananthapuram,Attingal,KB Vakkom
Kerala,Thiruvananthapuram,Kattakada,KB Aryanadu
Kerala,Thiruvananthapuram,Kattakada,KB Kattakada
Kerala,Thiruvananthapuram,Kattakada,KB Kuttichal
Kerala,Thiruvananthapuram,Kattakada,KB Poovachal
Kerala,Thiruvananthapuram,Kattakada,KB Tholicode
Kerala,Thiruvananthapuram,Kattakada,KB Uzhamalakkal
Kerala,Thiruvananthapuram,Kattakada,KB Vellanadu
Kerala,Thiruvananthapuram,Kattakada,KB Vithura
Kerala,Thiruvananthapuram,Kazakuttom,KB Andoorkonam
Kerala,Thiruvananthapuram,Kazakuttom,KB Attipra
Kerala,Thiruvananthapuram,Kazakuttom,KB Kadakampally
Kerala,Thiruvananthapuram,Kazakuttom,KB kadinamkulam
Kerala,Thiruvananthapuram,Kazakuttom,KB Kazhakuttom
Kerala,Thiruvananthapuram,Kazakuttom,KB Mangalapuram
Kerala,Thiruvananthapuram,Kazakuttom,KB Pothencode
Kerala,Thiruvananthapuram,Kazakuttom,KB Sreekaryam
Kerala,Thiruvananthapuram,Kazakuttom,KB Ulloor
Kerala,Thiruvananthapuram,Nedumangad,KB Anad
Kerala,Thiruvananthapuram,Nedumangad,KB Aruvikkara
Kerala,Thiruvananthapuram,Nedumangad,KB Karakulam
Kerala,Thiruvananthapuram,Nedumangad,KB Kudappanakunnu
